"","Temp","Precip","Month","Region"
"1",-4.65483870967742,4.65161290322581,"Jan","St. Johns"
"2",-5.325,4.73571428571429,"Feb","St. Johns"
"3",-2.53225806451613,4.23548387096774,"Mar","St. Johns"
"4",1.25666666666667,3.61666666666667,"Apr","St. Johns"
"5",5.79354838709677,3.25161290322581,"May","St. Johns"
"6",10.7866666666667,3.27,"Jun","St. Johns"
"7",15.2064516129032,2.65161290322581,"Jul","St. Johns"
"8",15.2806451612903,3.82258064516129,"Aug","St. Johns"
"9",11.6233333333333,4.12666666666667,"Sep","St. Johns"
"10",7.01935483870968,4.90967741935484,"Oct","St. Johns"
"11",2.95333333333333,4.78333333333333,"Nov","St. Johns"
"12",-1.84516129032258,4.68064516129032,"Dec","St. Johns"
"13",-6.15806451612903,4.63225806451613,"Jan","Halifax"
"14",-6.18214285714286,4.14642857142857,"Feb","Halifax"
"15",-1.73870967741935,4.13548387096774,"Mar","Halifax"
"16",3.62333333333333,4.01,"Apr","Halifax"
"17",9.44193548387097,3.52903225806452,"May","Halifax"
"18",14.7766666666667,3.12666666666667,"Jun","Halifax"
"19",18.3806451612903,3.02258064516129,"Jul","Halifax"
"20",18.2032258064516,3.40322580645161,"Aug","Halifax"
"21",13.8666666666667,3.20333333333333,"Sep","Halifax"
"22",8.49032258064516,4.12258064516129,"Oct","Halifax"
"23",3.24,5.14,"Nov","Halifax"
"24",-2.98709677419355,5.36451612903226,"Dec","Halifax"
"25",-5.72258064516129,4.76451612903226,"Jan","Sydney"
"26",-6.79642857142857,4.44642857142857,"Feb","Sydney"
"27",-2.93548387096774,4.42258064516129,"Mar","Sydney"
"28",1.85,4.07666666666667,"Apr","Sydney"
"29",7.49677419354839,3.18064516129032,"May","Sydney"
"30",13.14,2.97666666666667,"Jun","Sydney"
"31",17.4870967741935,2.75483870967742,"Jul","Sydney"
"32",17.6354838709677,3.11612903225806,"Aug","Sydney"
"33",13.3066666666667,3.50666666666667,"Sep","Sydney"
"34",8.2741935483871,4.55161290322581,"Oct","Sydney"
"35",3.53333333333333,5.19333333333333,"Nov","Sydney"
"36",-2.02903225806452,5.50967741935484,"Dec","Sydney"
"37",-3.21612903225806,4.02258064516129,"Jan","Yarmouth"
"38",-3.48928571428571,3.63928571428571,"Feb","Yarmouth"
